"";"spt";"team";"status";"player";"begin";"end";"grade";"location";"opponent";"tG";"tGA";"npG";"pG";"npA";"pA";"ownG";"ylw";"ylwred";"red";"sds"
"1";13;"VfB Stuttgart";"start";"Nübel";0;90;4,5;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"2";13;"VfB Stuttgart";"start";"Stergiou";0;46;4,5;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"3";13;"VfB Stuttgart";"start";"Rouault";0;75;4;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"4";13;"VfB Stuttgart";"start";"Chase";0;90;5;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"5";13;"VfB Stuttgart";"start";"Mittelstädt";0;90;4;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;1;0;0;FALSE
"6";13;"VfB Stuttgart";"start";"Karazor";0;90;2;"home";"1. FC Union Berlin";"3";"2";1;0;1;0;0;0;0;0;FALSE
"7";13;"VfB Stuttgart";"start";"Stiller";0;90;3,5;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"8";13;"VfB Stuttgart";"start";"Vagnoman";0;90;4,5;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"9";13;"VfB Stuttgart";"start";"Millot";0;90;3,5;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"10";13;"VfB Stuttgart";"start";"Führich";0;75;4,5;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"11";13;"VfB Stuttgart";"start";"Demirovic";0;90;4;"home";"1. FC Union Berlin";"3";"2";0;0;1;0;0;0;0;0;FALSE
"12";13;"VfB Stuttgart";"sub";"Woltemade";46;90;1;"home";"1. FC Union Berlin";"3";"2";2;0;0;0;0;0;0;0;TRUE
"13";13;"VfB Stuttgart";"sub";"Chabot";75;90;NA;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"14";13;"VfB Stuttgart";"sub";"Hendriks";75;90;NA;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"15";13;"VfB Stuttgart";"sub";"Rieder";90;90;NA;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"16";13;"VfB Stuttgart";"sub";"Keitel";90;90;NA;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"17";13;"VfB Stuttgart";"bench";"Bredlow";NA;NA;NA;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"18";13;"VfB Stuttgart";"bench";"P. Stenzel";NA;NA;NA;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"19";13;"VfB Stuttgart";"bench";"Malanga";NA;NA;NA;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"20";13;"VfB Stuttgart";"bench";"Diehl";NA;NA;NA;"home";"1. FC Union Berlin";"3";"2";0;0;0;0;0;0;0;0;FALSE
"21";13;"1. FC Union Berlin";"start";"Rönnow";0;90;5;"away";"VfB Stuttgart";"2";"3";0;0;0;0;0;1;0;0;FALSE
"22";13;"1. FC Union Berlin";"start";"Doekhi";0;90;3;"away";"VfB Stuttgart";"2";"3";1;0;0;0;0;1;0;0;FALSE
"23";13;"1. FC Union Berlin";"start";"Querfeld";0;85;5;"away";"VfB Stuttgart";"2";"3";0;0;0;0;0;0;0;0;FALSE
"24";13;"1. FC Union Berlin";"start";"Diogo Leite";0;90;4;"away";"VfB Stuttgart";"2";"3";0;0;0;0;0;1;0;0;FALSE
"25";13;"1. FC Union Berlin";"start";"Skov";0;84;3,5;"away";"VfB Stuttgart";"2";"3";1;0;0;0;0;0;0;0;FALSE
"26";13;"1. FC Union Berlin";"start";"Schäfer";0;85;3,5;"away";"VfB Stuttgart";"2";"3";0;0;1;0;0;0;0;0;FALSE
"27";13;"1. FC Union Berlin";"start";"R. Khedira";0;90;3,5;"away";"VfB Stuttgart";"2";"3";0;0;0;0;0;1;0;0;FALSE
"28";13;"1. FC Union Berlin";"start";"Rothe";0;90;4;"away";"VfB Stuttgart";"2";"3";0;0;0;0;0;0;0;0;FALSE
"29";13;"1. FC Union Berlin";"start";"Jeong";0;71;4;"away";"VfB Stuttgart";"2";"3";0;0;1;0;0;0;0;0;FALSE
"30";13;"1. FC Union Berlin";"start";"Hollerbach";0;90;4,5;"away";"VfB Stuttgart";"2";"3";0;0;0;0;0;0;0;0;FALSE
