ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Bayern München;GOALKEEPER;3600000;169;2.91
pl-k00034419;Dennis;Grote;Grote;Dennis Grote;VfL Bochum;MIDFIELDER;999000000;0;0.0
pl-k00037056;Tobias;Sippel;Sippel;Tobias Sippel;Bor. Mönchengladbach;GOALKEEPER;500000;-4;5.0
pl-k00038851;Norman;Theuerkauf;Theuerkauf;Norman Theuerkauf;1. FC Heidenheim;MIDFIELDER;1300000;2;0.0
pl-k00039161;Sven;Ulreich;Ulreich;Sven Ulreich;Bayern München;GOALKEEPER;1000000;8;3.0
pl-k00039186;Sascha;Burchert;Burchert;Sascha Burchert;FC St. Pauli;GOALKEEPER;500000;0;0.0
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;TSG Hoffenheim;GOALKEEPER;3800000;184;2.98
pl-k00039317;Thomas;Müller;T. Müller;Thomas Müller;Bayern München;MIDFIELDER;4200000;116;3.3
pl-k00039657;Mario;Vrancic;Vrancic;Mario Vrancic;Eintracht Frankfurt;MIDFIELDER;999000000;0;0.0
pl-k00039678;Mathias;Fetsch;Fetsch;Mathias Fetsch;SC Freiburg;FORWARD;999000000;0;0.0
pl-k00040891;Jens;Grahl;Grahl;Jens Grahl;Eintracht Frankfurt;GOALKEEPER;800000;0;0.0
pl-k00041690;Manuel;Gulde;Gulde;Manuel Gulde;SC Freiburg;DEFENDER;1800000;0;0.0
pl-k00041694;Marc;Hornschuh;Hornschuh;Marc Hornschuh;SC Freiburg;DEFENDER;999000000;0;0.0
pl-k00042122;Kevin;Trapp;Trapp;Kevin Trapp;Eintracht Frankfurt;GOALKEEPER;3200000;152;3.15
pl-k00043592;Mario;Götze;M. Götze;Mario Götze;Eintracht Frankfurt;MIDFIELDER;2500000;133;3.21
pl-k00043593;Julian;Korb;Korb;Julian Korb;Bor. Mönchengladbach;MIDFIELDER;999000000;0;0.0
pl-k00043610;Patrick;Lienhard;Lienhard;Patrick Lienhard;SC Freiburg;MIDFIELDER;999000000;0;0.0
pl-k00047579;Nicolas;Höfler;Höfler;Nicolas Höfler;SC Freiburg;MIDFIELDER;2400000;46;3.75
pl-k00047586;Sebastian;Mielitz;Mielitz;Sebastian Mielitz;Werder Bremen;GOALKEEPER;999000000;0;0.0
pl-k00047724;Lewis;Holtby;Holtby;Lewis Holtby;Holstein Kiel;MIDFIELDER;1800000;18;4.24
pl-k00048998;Kevin;Volland;Volland;Kevin Volland;1. FC Union Berlin;FORWARD;2000000;6;4.0
pl-k00049258;Timo;Horn;T. Horn;Timo Horn;VfL Bochum;GOALKEEPER;2400000;84;3.12
pl-k00050237;Timothy;Chandler;Chandler;Timothy Chandler;Eintracht Frankfurt;DEFENDER;700000;6;0.0
pl-k00051515;Steve;Breitkreuz;S. Breitkreuz;Steve Breitkreuz;Bayern München;DEFENDER;999000000;0;0.0
pl-k00054360;Daniel;Batz;Batz;Daniel Batz;1. FSV Mainz 05;GOALKEEPER;800000;0;0.0
pl-k00054640;Danny;da Costa;da Costa;Danny da Costa;1. FSV Mainz 05;DEFENDER;1200000;112;3.39
pl-k00054652;Pascal;Groß;P. Groß;Pascal Groß;Borussia Dortmund;MIDFIELDER;3800000;128;3.52
pl-k00054657;Kevin;Vogt;Vogt;Kevin Vogt;1. FC Union Berlin;DEFENDER;2500000;70;3.58
pl-k00054894;Simon;Zoller;Zoller;Simon Zoller;FC St. Pauli;FORWARD;1200000;0;0.0
pl-k00057236;Cimo;Röcker;Röcker;Cimo Röcker;Werder Bremen;DEFENDER;999000000;0;0.0
pl-k00057241;Rani;Khedira;R. Khedira;Rani Khedira;1. FC Union Berlin;MIDFIELDER;2200000;114;3.65
pl-k00057245;Marnon;Busch;Busch;Marnon Busch;1. FC Heidenheim;DEFENDER;1300000;56;3.82
pl-k00057247;Marvin;Ducksch;Ducksch;Marvin Ducksch;Werder Bremen;FORWARD;3800000;144;3.68
pl-k00057343;Granit;Xhaka;G. Xhaka;Granit Xhaka;Bayer 04 Leverkusen;MIDFIELDER;6000000;214;3.09
pl-k00057797;Markus;Kolke;Kolke;Markus Kolke;Werder Bremen;GOALKEEPER;500000;0;0.0
pl-k00057894;Kevin;Kampl;Kampl;Kevin Kampl;RB Leipzig;MIDFIELDER;1800000;94;3.48
pl-k00057925;Lukas;Hradecky;Hradecky;Lukas Hradecky;Bayer 04 Leverkusen;GOALKEEPER;3600000;166;3.17
pl-k00058003;Mitchell;Weiser;Weiser;Mitchell Weiser;Werder Bremen;DEFENDER;3000000;195;3.38
pl-k00058007;Emre;Can;Can;Emre Can;Borussia Dortmund;MIDFIELDER;2500000;118;3.48
pl-k00058073;Vitus;Eicher;Eicher;Vitus Eicher;1. FC Heidenheim;GOALKEEPER;800000;0;0.0
pl-k00058548;Peter;Gulacsi;Gulacsi;Peter Gulacsi;RB Leipzig;GOALKEEPER;3600000;262;2.65
pl-k00058696;Michele;Rizzi;Rizzi;Michele Rizzi;VfL Wolfsburg;MIDFIELDER;999000000;0;0.0
