"","spt","team","status","player","begin","end","grade","location","opponent","tG","tGA","npG","pG","npA","pA","ownG","ylw","ylwred","red","sds","Position","kID","Vorname","Nachname","Name_lang","MW","Punkte","Note","G_coef","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points"
"1",1,"Bor. Mönchengladbach","start","Omlin",0,90,2.5,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"GOALKEEPER","pl-k00084309","Jonas","Omlin","Jonas Omlin",2.6,53,3.33,6,4,4,0,0,0,0,0,0,0,0,8
"2",1,"Bor. Mönchengladbach","start","Scally",0,90,4,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00113185","Joe","Scally","Joe Scally",1.5,64,4,5,4,-2,0,0,0,0,0,0,0,0,2
"3",1,"Bor. Mönchengladbach","start","Itakura",0,90,3,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00106087","Ko","Itakura","Ko Itakura",2,156,3.42,5,4,2,0,0,0,0,0,0,0,0,6
"4",1,"Bor. Mönchengladbach","start","Elvedi",0,90,3.5,"home","Bayer 04 Leverkusen","2","3",1,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00084365","Nico","Elvedi","Nico Elvedi",2,111,3.46,5,4,0,5,0,0,0,0,0,0,0,9
"5",1,"Bor. Mönchengladbach","start","Honorat",0,90,4,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00091126","Franck","Honorat","Franck Honorat",2.8,117,3.42,4,4,-2,0,0,0,0,0,0,0,0,2
"6",1,"Bor. Mönchengladbach","start","Reitz",0,71,3.5,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00104895","Rocco","Reitz","Rocco Reitz",3,115,3.43,4,4,0,0,0,0,0,0,0,0,0,4
"7",1,"Bor. Mönchengladbach","start","Weigl",0,90,3.5,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00076799","Julian","Weigl","Julian Weigl",2.2,88,3.86,4,4,0,0,0,0,0,0,0,0,0,4
"8",1,"Bor. Mönchengladbach","start","Netz",0,90,5,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00107684","Luca","Netz","Luca Netz",1.7,38,4.13,5,4,-6,0,0,0,0,0,0,0,0,-2
"9",1,"Bor. Mönchengladbach","start","Stöger",0,90,2,"home","Bayer 04 Leverkusen","2","3",0,0,1,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00067514","Kevin","Stöger","Kevin Stöger",3.5,108,3.57,4,4,6,0,0,2,0,0,0,0,0,12
"10",1,"Bor. Mönchengladbach","start","Plea",0,71,5,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00075072","Alassane","Plea","Alassane Plea",2.5,143,3.66,3,4,-6,0,0,0,0,0,0,0,0,-2
"11",1,"Bor. Mönchengladbach","start","Kleindienst",0,90,2.5,"home","Bayer 04 Leverkusen","2","3",1,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00076954","Tim","Kleindienst","Tim Kleindienst",3.8,202,3.45,3,4,4,3,0,0,0,0,0,0,0,11
"12",1,"Bor. Mönchengladbach","sub","Cvancara",71,90,NA,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00112498","Tomas","Cvancara","Tomas Cvancara",1.6,52,4.25,3,2,NA,0,0,0,0,0,0,0,0,2
"13",1,"Bor. Mönchengladbach","sub","Sander",71,90,NA,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00090371","Philipp","Sander","Philipp Sander",2,74,3.75,4,2,NA,0,0,0,0,0,0,0,0,2
"14",1,"Bor. Mönchengladbach","sub","Chiarodia",90,90,NA,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00137935","Fabio","Chiarodia","Fabio Chiarodia",1,39,3.7,5,2,NA,0,0,0,0,0,0,0,0,2
"15",1,"Bor. Mönchengladbach","sub","Ngoumou",90,90,NA,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00117583","Nathan","Ngoumou","Nathan Ngoumou",1.8,50,3.86,4,2,NA,0,0,0,0,0,0,0,0,2
"16",1,"Bor. Mönchengladbach","sub","Lainer",90,90,NA,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,1,0,0,FALSE,"DEFENDER","pl-k00066249","Stefan","Lainer","Stefan Lainer",1.4,47,3.88,5,2,NA,0,0,0,0,0,0,0,0,2
"17",1,"Bor. Mönchengladbach","bench","Nicolas",NA,NA,NA,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"GOALKEEPER","pl-k00079199","Moritz","Nicolas","Moritz Nicolas",1.8,142,2.78,6,0,NA,0,0,0,0,0,0,0,0,0
"18",1,"Bor. Mönchengladbach","bench","Friedrich",NA,NA,NA,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00077333","Marvin","Friedrich","Marvin Friedrich",1.6,76,3.23,5,0,NA,0,0,0,0,0,0,0,0,0
"19",1,"Bor. Mönchengladbach","bench","Hack",NA,NA,NA,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00082727","Robin","Hack","Robin Hack",3.5,133,3.71,4,0,NA,0,0,0,0,0,0,0,0,0
"20",1,"Bor. Mönchengladbach","bench","Neuhaus",NA,NA,NA,"home","Bayer 04 Leverkusen","2","3",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00081913","Florian","Neuhaus","Florian Neuhaus",2.2,45,3.5,4,0,NA,0,0,0,0,0,0,0,0,0
"21",1,"Bayer 04 Leverkusen","start","Hradecky",0,90,2,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"GOALKEEPER","pl-k00057925","Lukas","Hradecky","Lukas Hradecky",3.6,166,3.17,6,4,6,0,0,0,0,0,0,0,0,10
"22",1,"Bayer 04 Leverkusen","start","Tapsoba",0,90,4,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00114601","Edmond","Tapsoba","Edmond Tapsoba",3.6,124,3.43,5,4,-2,0,0,0,0,0,0,0,0,2
"23",1,"Bayer 04 Leverkusen","start","Tah",0,90,2.5,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00070592","Jonathan","Tah","Jonathan Tah",5.5,244,2.83,5,4,4,0,0,0,0,0,0,0,0,8
"24",1,"Bayer 04 Leverkusen","start","Hincapie",0,90,3,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00123844","Piero","Hincapie","Piero Hincapie",2.6,200,2.97,5,4,2,0,0,0,0,0,0,0,0,6
"25",1,"Bayer 04 Leverkusen","start","Frimpong",0,90,2,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"DEFENDER","pl-k00121927","Jeremie","Frimpong","Jeremie Frimpong",6,194,3.17,5,4,6,0,0,0,0,0,0,0,0,10
"26",1,"Bayer 04 Leverkusen","start","G. Xhaka",0,90,3,"away","Bor. Mönchengladbach","3","2",1,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00057343","Granit","Xhaka","Granit Xhaka",6,214,3.09,4,4,2,4,0,0,0,0,0,0,0,10
"27",1,"Bayer 04 Leverkusen","start","Andrich",0,82,3.5,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00070997","Robert","Andrich","Robert Andrich",3.8,115,3.3,4,4,0,0,0,0,0,0,0,0,0,4
"28",1,"Bayer 04 Leverkusen","start","Grimaldo",0,90,2.5,"away","Bor. Mönchengladbach","3","2",0,0,1,0,0,0,0,0,FALSE,"DEFENDER","pl-k00081465","Alejandro","Grimaldo","Alejandro Grimaldo",6.5,174,3.34,5,4,4,0,0,2,0,0,0,0,0,10
"29",1,"Bayer 04 Leverkusen","start","Hofmann",0,65,4,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"MIDFIELDER","pl-k00068029","Jonas","Hofmann","Jonas Hofmann",4,36,3.64,4,4,-2,0,0,0,0,0,0,0,0,2
"30",1,"Bayer 04 Leverkusen","start","Wirtz",0,90,2,"away","Bor. Mönchengladbach","3","2",2,0,0,0,0,0,0,0,TRUE,"MIDFIELDER","pl-k00107693","Florian","Wirtz","Florian Wirtz",8.5,321,2.45,4,4,6,8,0,0,0,0,0,3,0,21
"31",1,"Bayer 04 Leverkusen","start","Boniface",0,82,3,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00132800","Victor","Boniface","Victor Boniface",6,109,3.19,3,4,2,0,0,0,0,0,0,0,0,6
"32",1,"Bayer 04 Leverkusen","sub","Terrier",65,90,3.5,"away","Bor. Mönchengladbach","3","2",0,0,0,0,0,0,0,0,FALSE,"FORWARD","pl-k00097797","Martin","Terrier","Martin Terrier",3,50,3.56,3,2,0,0,0,0,0,0,0,0,0,2
