"","player","team","type","MW","nation","position","age","born","starts","starts_graded","subs","subs_graded","benchs","mins","mins_mean","nineties","grade_mean","tG","tGA","npG","npxG","npG_perf","npG_perf_rel","p_att","pG","p_miss","npA","pA","xAG","A_perf","A_perf_rel","npG_A","npG_A_perf","npG_A_perf_rel","npG_p90","npxG_p90","npG_perf_p90","npG_perf_rel_p90","A_p90","xAG_p90","A_perf_p90","A_perf_rel_p90","npG_A_p90","npxG_xAG_p90","npG_A_perf_p90","npG_A_perf_rel_p90","ownG","ylw","ylwred","red","sds","status_pts","grade_pts","npG_pts","pG_pts","npA_pts","pA_pts","ylwred_pts","red_pts","sds_pts","clean_sheet_pts","points","name_fbref","url_fbref"
"1","A. Haidara","RB Leipzig","Mittelfeld",2.8,"MLI","MF","26",1998,16,15,12,4,2,1323,47,14.7,"3.76",48,42,0,1.4,-1.4,"0.00",0,0,0,2,0,0.9,0.1,"1.11",1,-1.2,"0.45",0,0.09,-0.09,"0.00",0.07,0.06,0.01,"1.17",0.07,0.15,-0.08,"0.47",0,7,0,0,0,88,-20,0,0,4,0,0,0,0,0,72,"Amadou Haidara","https://fbref.com/en/players/92432bc6/Amadou-Haidara"
"2","A. Jung","Werder Bremen","Abwehr",2,"GER","DF","32",1991,20,19,8,4,5,1896,68,21.1,"3.83",54,56,0,0,0,"NaN",0,0,0,0,0,0.1,-0.1,"0.00",0,-0.1,"0.00",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,1,0,0,0,96,-30,0,0,0,0,0,0,0,0,66,"Anthony Jung","https://fbref.com/en/players/de838f86/Anthony-Jung"
"3","A. Meyer","Borussia Dortmund","Tor",0.8,"GER","GK","33",1991,2,2,0,0,31,180,90,2,"2.50",69,48,0,0,0,"NaN",0,0,0,0,0,0.1,-0.1,"0.00",0,-0.1,"0.00",0,0,0,"NaN",0,0.06,-0.06,"0.00",0,0.06,-0.06,"0.00",0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,16,"Alexander Meyer","https://fbref.com/en/players/b56dd813/Alexander-Meyer"
"4","Adamu","SC Freiburg","Sturm",1.5,"AUT","FW","23",2001,19,19,6,2,5,1554,62,17.2,"4.07",39,47,2,5.5,-3.5,"0.36",0,0,0,3,0,2.4,-0.4,"0.83",4,-3.9,"0.51",0.12,0.32,-0.2,"0.38",0.12,0.14,-0.02,"0.86",0.23,0.46,-0.23,"0.50",0,5,0,1,1,88,-48,6,0,6,0,0,-6,3,0,49,"Junior Adamu","https://fbref.com/en/players/82e12fe7/Junior-Adamu"
"5","Adeh","Werder Bremen",NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,NA,NA,"NaN",5,4,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"6","Adeyemi","Borussia Dortmund","Sturm",3,"GER","FW,MF","22",2002,17,17,8,4,0,1439,58,15.9,"3.45",56,36,7,5.5,1.5,"1.27",0,0,0,6,0,6,0,"1.00",13,1.5,"1.13",0.44,0.34,0.1,"1.29",0.38,0.38,0,"1.00",0.82,0.72,0.1,"1.14",0,4,0,0,2,84,4,21,0,12,0,0,0,6,0,127,"Karim Adeyemi","https://fbref.com/en/players/501055d8/Karim-Adeyemi"
"7","Adli","Bayer 04 Leverkusen","Sturm",2.6,"MAR","MF,FW","24",2000,6,6,14,7,1,757,38,8.5,"3.58",41,29,2,2.7,-0.7,"0.74",0,0,0,1,0,0.7,-0.7,"0.00",2,-1.4,"0.59",0.23,0.32,-0.09,"0.72",0,0.08,-0.08,"0.00",0.23,0.4,-0.17,"0.57",0,3,0,0,1,52,-4,6,0,2,0,0,0,3,0,59,"Amine Adli","https://fbref.com/en/players/dcfb17f4/Amine-Adli"
"8","Afolayan","FC St. Pauli","Sturm",1.7,"ENG","FW,MF","26",1998,17,17,15,6,2,1638,51,18.2,"3.96",28,41,3,3.1,-0.1,"0.97",0,0,0,2,0,3.8,-2.8,"0.26",4,-3,"0.57",0.16,0.17,-0.01,"0.94",0.05,0.21,-0.16,"0.24",0.22,0.38,-0.16,"0.58",0,3,0,0,0,98,-42,9,0,4,0,0,0,0,0,69,"Oladapo Afolayan","https://fbref.com/en/players/5054c359/Oladapo-Afolayan"
"9","Agu","Werder Bremen","Abwehr",1.6,"NGA","DF","24",1999,21,21,1,1,2,1762,80,19.5,"3.59",37,42,3,1.4,1.6,"2.14",0,0,0,1,0,1.8,-1.8,"0.00",3,-0.2,"0.94",0.15,0.07,0.08,"2.14",0,0.09,-0.09,"0.00",0.15,0.17,-0.02,"0.88",1,1,0,0,1,86,-8,15,0,2,0,0,0,3,0,98,"Felix Agu","https://fbref.com/en/players/cb6d81b3/Felix-Agu"
"10","Ahlers","FC St. Pauli","Tor",0.5,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,"NaN",0,1,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"11","Ahlstrand","FC St. Pauli","Mittelfeld",1.3,"SWE","FW,MF","22",2001,0,0,5,0,16,40,8,0.5,"NaN",18,26,0,0,0,"NaN",0,0,0,0,0,0,0,"NaN",0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,"NaN",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,"Erik Ahlstrand","https://fbref.com/en/players/f6b692c0/Erik-Ahlstrand"
"12","Aigbekaen","FC St. Pauli","Sturm",0.5,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,"NaN",0,2,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"13","Akaegbobi","VfL Wolfsburg",NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,NA,NA,"NaN",3,4,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"14","Akpoguma","TSG Hoffenheim","Abwehr",1.7,"NGA","DF","29",1995,23,23,9,4,2,2213,69,24.7,"3.78",46,68,0,0.1,-0.1,"0.00",0,0,0,0,0,0.3,-0.3,"0.00",0,-0.4,"0.00",0,0,0,"NaN",0,0.01,-0.01,"0.00",0,0.02,-0.02,"0.00",0,3,0,0,0,110,-30,0,0,0,0,0,0,0,0,80,"Kevin Akpoguma","https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma"
"15","Al-Dakhil","VfB Stuttgart","Abwehr",2.2,"BEL","DF","22",2002,6,6,1,0,7,470,67,4.8,"3.83",18,23,0,0.1,-0.1,"0.00",0,0,0,0,0,0.2,-0.2,"0.00",0,-0.2,"0.00",0,0.01,-0.01,"0.00",0,0.04,-0.04,"0.00",0,0.05,-0.05,"0.00",0,0,0,1,0,26,-8,0,0,0,0,0,-6,0,0,12,"Ameen Al-Dakhil","https://fbref.com/en/players/93e08bce/Ameen-Al-Dakhil"
"16","Alajbegovic","Bayer 04 Leverkusen",NA,NA,NA,NA,NA,NA,0,0,0,0,5,0,NA,NA,"NaN",10,4,0,NA,NA,"NA",NA,0,NA,0,0,NA,NA,"NA",NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",NA,NA,NA,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"17","Albers","FC St. Pauli","Sturm",0.8,"DEN","FW","34",1990,0,0,14,0,4,49,4,0.7,"NaN",12,22,1,0.6,0.4,"1.67",0,0,0,0,0,0.1,-0.1,"0.00",1,0.3,"1.43",1.45,0.9,0.55,"1.61",0,0.14,-0.14,"0.00",1.45,1.04,0.41,"1.39",0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,31,"Andreas Albers","https://fbref.com/en/players/94471fb7/Andreas-Albers"
