ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Bayern München;GOALKEEPER;3400000;169;2.91
pl-k00037056;Tobias;Sippel;Sippel;Tobias Sippel;Bor. Mönchengladbach;GOALKEEPER;500000;-4;5.0
pl-k00039161;Sven;Ulreich;Ulreich;Sven Ulreich;Bayern München;GOALKEEPER;500000;8;3.0
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;TSG Hoffenheim;GOALKEEPER;3400000;184;2.98
pl-k00039284;Ron-Robert;Zieler;Zieler;Ron-Robert Zieler;1. FC Köln;GOALKEEPER;1000000;0;0.0
pl-k00039657;Mario;Vrancic;Vrancic;Mario Vrancic;Eintracht Frankfurt;MIDFIELDER;999000000;0;0.0
pl-k00039678;Mathias;Fetsch;Fetsch;Mathias Fetsch;SC Freiburg;FORWARD;999000000;0;0.0
pl-k00040891;Jens;Grahl;Grahl;Jens Grahl;Eintracht Frankfurt;GOALKEEPER;500000;0;0.0
pl-k00041694;Marc;Hornschuh;Hornschuh;Marc Hornschuh;SC Freiburg;DEFENDER;999000000;0;0.0
pl-k00042122;Kevin;Trapp;Trapp;Kevin Trapp;Eintracht Frankfurt;GOALKEEPER;2800000;152;3.15
pl-k00043520;Janis;Blaswich;Blaswich;Janis Blaswich;RB Leipzig;GOALKEEPER;1000000;0;0.0
pl-k00043592;Mario;Götze;M. Götze;Mario Götze;Eintracht Frankfurt;MIDFIELDER;2400000;133;3.21
pl-k00043593;Julian;Korb;Korb;Julian Korb;Bor. Mönchengladbach;DEFENDER;999000000;0;0.0
pl-k00043610;Patrick;Lienhard;Lienhard;Patrick Lienhard;SC Freiburg;MIDFIELDER;999000000;0;0.0
pl-k00047579;Nicolas;Höfler;Höfler;Nicolas Höfler;SC Freiburg;MIDFIELDER;1400000;46;3.75
pl-k00047586;Sebastian;Mielitz;Mielitz;Sebastian Mielitz;Werder Bremen;GOALKEEPER;999000000;0;0.0
pl-k00048639;Luca;Dürholtz;Dürholtz;Luca Dürholtz;1. FC Köln;MIDFIELDER;999000000;0;0.0
pl-k00050237;Timothy;Chandler;Chandler;Timothy Chandler;Eintracht Frankfurt;DEFENDER;700000;6;0.0
